Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  comorbidity  Others,0.024419,0.477273,0.477273,42,88,88,?a
?a  ageCategory  old   ,?a  biomarker  ROS1_Positive,0.173141,0.320988,0.477064,156,486,327,?a
?a  comorbidity  Depression  ?a  drug  Cisplatin   ,?a  biomarker  ALK_Positive,0.057714,0.333333,0.477064,52,156,109,?a
?a  ageCategory  old  ?a  drug  Afatinib   ,?a  comorbidity  Others,0.048256,0.477011,0.477011,83,174,174,?a
?a  comorbidity  Cardiopathy  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.079911,0.328767,0.476821,72,219,151,?a
?a  smokingHabit  NonSmoker   ,?a  sex  female,0.123,0.476744,0.476744,123,258,258,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ROS1_Positive,0.045505,0.341667,0.476744,41,120,86,?a
?a  comorbidity  Others   ,?a  biomarker  ROS1_Positive,0.158713,0.322072,0.476667,143,444,300,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.051,0.476636,0.476636,51,107,107,?a
?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.1798,0.321429,0.476471,162,504,340,?a
?a  ageCategory  old  ?a  sex  male   ,?a  biomarker  EGFR_Positive,0.077691,0.307018,0.47619,70,228,147,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.034884,0.47619,0.47619,60,126,126,?a
?a  drug  Afatinib   ,?a  ageCategory  young,0.158,0.475904,0.475904,158,332,332,?a
?a  drug  Cisplatin   ,?a  biomarker  EGFR_Positive,0.118757,0.309249,0.475556,107,346,225,?a
?a  biomarker  EGFR_Positive   ,?a  hasRelapse  No,0.144,0.475248,0.475248,144,303,303,?a
?a  comorbidity  Cardiopathy   ,?a  biomarker  EGFR_Positive,0.147614,0.321256,0.475,133,414,280,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.027326,0.474747,0.474747,47,99,99,?a
?a  ageCategory  young  ?a  drug  Cisplatin   ,?a  biomarker  ROS1_Positive,0.062153,0.294737,0.474576,56,190,118,?a
?a  ageCategory  old  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.062153,0.325581,0.474576,56,172,118,?a
?a  biomarker  ROS1_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Cardiopathy,0.031977,0.474138,0.474138,55,116,116,?a
?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.119,0.474104,0.474104,119,251,251,?a
?a  ageCategory  young  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.039956,0.297521,0.473684,36,121,76,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  Yes   ,?a  comorbidity  Depression,0.04186,0.473684,0.473684,72,152,152,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  comorbidity  Diabetes_Mellitus,0.026163,0.473684,0.473684,45,95,95,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Nivolumab,0.020785,0.473684,0.473684,36,76,76,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Others,0.025581,0.473118,0.473118,44,93,93,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.077691,0.30837,0.472973,70,227,148,?a
?a  drug  Afatinib   ,?a  sex  male,0.157,0.472892,0.472892,157,332,332,?a
?a  ageCategory  young  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.05,0.472527,0.472527,86,182,182,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  biomarker  ROS1_Positive,0.133185,0.297767,0.472441,120,403,254,?a
?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.119,0.472222,0.472222,119,252,252,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Cardiopathy,0.024419,0.47191,0.47191,42,89,89,?a
?a  biomarker  ALK_Positive   ,?a  sex  male,0.134,0.471831,0.471831,134,284,284,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  biomarker  ROS1_Positive,0.027747,0.316456,0.471698,25,79,53,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  sex  male,0.05,0.471698,0.471698,50,106,106,?a
?a  ageCategory  young  ?a  drug  Nivolumab   ,?a  comorbidity  Cardiopathy,0.048256,0.471591,0.471591,83,176,176,?a
?a  comorbidity  Cardiopathy   ,?a  biomarker  ROS1_Positive,0.146504,0.318841,0.471429,132,414,280,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ALK_Positive,0.036626,0.33,0.471429,33,100,70,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.049,0.471154,0.471154,49,104,104,?a
?a  comorbidity  Cardiopathy   ,?a  sex  male,0.195,0.471014,0.471014,195,414,414,?a
?a  comorbidity  Others   ,?a  sex  male,0.209,0.470721,0.470721,209,444,444,?a
?a  ageCategory  young  ?a  comorbidity  Cardiopathy   ,?a  biomarker  ALK_Positive,0.079911,0.311688,0.470588,72,231,153,?a
?a  drug  Carboplatin   ,?a  hasRelapse  Yes,0.167,0.470423,0.470423,167,355,355,?a
?a  sex  female   ,?a  biomarker  EGFR_Positive,0.18535,0.31749,0.470423,167,526,355,?a
?a  drug  Nivolumab   ,?a  hasRelapse  Yes,0.162,0.469565,0.469565,162,345,345,?a
?a  drug  Afatinib  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.044767,0.469512,0.469512,77,164,164,?a
?a  ageCategory  old   ,?a  sex  male,0.228,0.469136,0.469136,228,486,486,?a
?a  ageCategory  young  ?a  drug  Vinorelbine   ,?a  biomarker  ALK_Positive,0.058824,0.291209,0.469027,53,182,113,?a
?a  drug  Vinorelbine   ,?a  hasRelapse  Yes,0.166,0.468927,0.468927,166,354,354,?a
?a  drug  Cisplatin  ?a  hasRelapse  Yes   ,?a  comorbidity  Depression,0.048256,0.468927,0.468927,83,177,177,?a
?a  biomarker  EGFR_Positive   ,?a  comorbidity  Depression,0.082558,0.468647,0.468647,142,303,303,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  comorbidity  Others,0.051163,0.468085,0.468085,88,188,188,?a
?a  ageCategory  old   ,?a  biomarker  EGFR_Positive,0.169811,0.314815,0.46789,153,486,327,?a
?a  hasRelapse  Yes   ,?a  biomarker  ROS1_Positive,0.168701,0.306452,0.467692,152,496,325,?a
?a  drug  Carboplatin   ,?a  comorbidity  Others,0.096512,0.467606,0.467606,166,355,355,?a
?a  ageCategory  young   ,?a  biomarker  ROS1_Positive,0.175361,0.307393,0.467456,158,514,338,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ALK_Positive,0.047725,0.328244,0.467391,43,131,92,?a
?a  biomarker  ROS1_Positive  ?a  drug  Afatinib   ,?a  comorbidity  Others,0.02907,0.46729,0.46729,50,107,107,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  comorbidity  Others,0.037209,0.467153,0.467153,64,137,137,?a
?a  drug  Cisplatin   ,?a  biomarker  ROS1_Positive,0.116537,0.303468,0.466667,105,346,225,?a
?a  ageCategory  young  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Cardiopathy,0.040698,0.466667,0.466667,70,150,150,?a
?a  biomarker  ROS1_Positive  ?a  drug  Cisplatin   ,?a  comorbidity  Depression,0.028488,0.466667,0.466667,49,105,105,?a
?a  ageCategory  young  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.068605,0.466403,0.466403,118,253,253,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  comorbidity  Cardiopathy,0.019767,0.465753,0.465753,34,73,73,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.039535,0.465753,0.465753,68,146,146,?a
?a  ageCategory  young  ?a  drug  Afatinib   ,?a  biomarker  EGFR_Positive,0.059933,0.341772,0.465517,54,158,116,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  biomarker  EGFR_Positive,0.052164,0.295597,0.465347,47,159,101,?a
?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.069767,0.465116,0.465116,120,258,258,?a
?a  biomarker  ALK_Positive   ,?a  comorbidity  Depression,0.076744,0.464789,0.464789,132,284,284,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.026744,0.464646,0.464646,46,99,99,?a
?a  hasRelapse  Yes   ,?a  comorbidity  Depression,0.133721,0.46371,0.46371,230,496,496,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  Yes   ,?a  biomarker  ALK_Positive,0.063263,0.306452,0.463415,57,186,123,?a
?a  ageCategory  young  ?a  drug  Carboplatin   ,?a  comorbidity  Cardiopathy,0.044186,0.463415,0.463415,76,164,164,?a
?a  drug  Cisplatin  ?a  hasRelapse  Yes   ,?a  comorbidity  Diabetes_Mellitus,0.047674,0.463277,0.463277,82,177,177,?a
?a  ageCategory  young  ?a  drug  Cisplatin   ,?a  comorbidity  Others,0.051163,0.463158,0.463158,88,190,190,?a
?a  ageCategory  young  ?a  drug  Nivolumab   ,?a  biomarker  EGFR_Positive,0.062153,0.318182,0.46281,56,176,121,?a
?a  drug  Vinorelbine  ?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.050581,0.462766,0.462766,87,188,188,?a
?a  drug  Vinorelbine  ?a  hasRelapse  No   ,?a  comorbidity  Others,0.050581,0.462766,0.462766,87,188,188,?a
?a  comorbidity  Others  ?a  drug  Vinorelbine   ,?a  biomarker  ALK_Positive,0.054384,0.304348,0.462264,49,161,106,?a
?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.067442,0.462151,0.462151,116,251,251,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.035465,0.462121,0.462121,61,132,132,?a
?a  drug  Carboplatin   ,?a  ageCategory  young,0.164,0.461972,0.461972,164,355,355,?a
?a  ageCategory  young   ,?a  biomarker  ALK_Positive,0.173141,0.303502,0.461538,156,514,338,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.026637,0.275862,0.461538,24,87,52,?a
?a  sex  female  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.046615,0.315789,0.461538,42,133,91,?a
?a  drug  Carboplatin  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.048837,0.461538,0.461538,84,182,182,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  comorbidity  Cardiopathy,0.04186,0.461538,0.461538,72,156,156,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.02093,0.461538,0.461538,36,78,78,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  comorbidity  Diabetes_Mellitus,0.04186,0.461538,0.461538,72,156,156,?a
?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.069186,0.46124,0.46124,119,258,258,?a
?a  drug  Cisplatin  ?a  sex  female   ,?a  biomarker  ALK_Positive,0.058824,0.304598,0.46087,53,174,115,?a
?a  hasRelapse  No  ?a  sex  female   ,?a  biomarker  ALK_Positive,0.09101,0.319066,0.460674,82,257,178,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ALK_Positive,0.038846,0.309735,0.460526,35,113,76,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Depression,0.020349,0.460526,0.460526,35,76,76,?a
?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  Yes,0.116,0.460317,0.460317,116,252,252,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.03314,0.459677,0.459677,57,124,124,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  comorbidity  Others,0.04593,0.459302,0.459302,79,172,172,?a
?a  drug  Nivolumab   ,?a  biomarker  EGFR_Positive,0.117647,0.307246,0.458874,106,345,231,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.034884,0.458015,0.458015,60,131,131,?a
?a  hasRelapse  Yes   ,?a  sex  male,0.227,0.457661,0.457661,227,496,496,?a
?a  drug  Cisplatin  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.047093,0.457627,0.457627,81,177,177,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.05,0.457447,0.457447,86,188,188,?a
?a  drug  Afatinib   ,?a  biomarker  ROS1_Positive,0.118757,0.322289,0.457265,107,332,234,?a
?a  drug  Afatinib  ?a  sex  female   ,?a  comorbidity  Others,0.046512,0.457143,0.457143,80,175,175,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Others,0.043023,0.45679,0.45679,74,162,162,?a
?a  ageCategory  young  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Cardiopathy,0.033721,0.456693,0.456693,58,127,127,?a
?a  sex  female  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.036628,0.456522,0.456522,63,138,138,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  smokingHabit  NonSmoker,0.040736,0.348315,0.455882,31,89,68,?a
?a  hasRelapse  No  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.036047,0.455882,0.455882,62,136,136,?a
?a  hasRelapse  No  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.036047,0.455882,0.455882,62,136,136,?a
?a  ageCategory  young  ?a  biomarker  ROS1_Positive   ,?a  comorbidity  Cardiopathy,0.04186,0.455696,0.455696,72,158,158,?a
?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.131395,0.455645,0.455645,226,496,496,?a
?a  ageCategory  old  ?a  drug  Nivolumab   ,?a  comorbidity  Others,0.044767,0.455621,0.455621,77,169,169,?a
?a  biomarker  ROS1_Positive   ,?a  comorbidity  Others,0.08314,0.455414,0.455414,143,314,314,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.032333,0.455285,0.455285,56,123,123,?a
?a  hasRelapse  No  ?a  sex  female   ,?a  comorbidity  Depression,0.068023,0.455253,0.455253,117,257,257,?a
?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.084351,0.301587,0.45509,76,252,167,?a
?a  drug  Nivolumab   ,?a  sex  male,0.157,0.455072,0.455072,157,345,345,?a
?a  drug  Vinorelbine   ,?a  comorbidity  Depression,0.093605,0.454802,0.454802,161,354,354,?a
?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.093605,0.454802,0.454802,161,354,354,?a
?a  comorbidity  Depression  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.038846,0.318182,0.454545,35,110,77,?a
?a  drug  Afatinib  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  EGFR_Positive,0.033296,0.322581,0.454545,30,93,66,?a
?a  hasRelapse  No   ,?a  comorbidity  Depression,0.13314,0.454365,0.454365,229,504,504,?a
?a  drug  Cisplatin   ,?a  comorbidity  Others,0.091279,0.453757,0.453757,157,346,346,?a
?a  hasRelapse  No  ?a  sex  male   ,?a  comorbidity  Others,0.065116,0.453441,0.453441,112,247,247,?a
?a  ageCategory  old  ?a  biomarker  ALK_Positive   ,?a  comorbidity  Others,0.033721,0.453125,0.453125,58,128,128,?a
?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.132558,0.452381,0.452381,228,504,504,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.03314,0.452381,0.452381,57,126,126,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  sex  male,0.047,0.451923,0.451923,47,104,104,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.035465,0.451852,0.451852,61,135,135,?a
?a  comorbidity  Depression  ?a  drug  Afatinib   ,?a  biomarker  ALK_Positive,0.062153,0.339394,0.451613,56,165,124,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  comorbidity  Others,0.024419,0.451613,0.451613,42,93,93,?a
?a  ageCategory  young  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.070349,0.451493,0.451493,121,268,268,?a
?a  sex  female  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.034884,0.451128,0.451128,60,133,133,?a
?a  drug  Nivolumab  ?a  hasRelapse  Yes   ,?a  biomarker  ALK_Positive,0.051054,0.283951,0.45098,46,162,102,?a
?a  drug  Cisplatin   ,?a  comorbidity  Depression,0.090698,0.450867,0.450867,156,346,346,?a
?a  drug  Cisplatin   ,?a  ageCategory  old,0.156,0.450867,0.450867,156,346,346,?a
?a  biomarker  ALK_Positive   ,?a  ageCategory  old,0.128,0.450704,0.450704,128,284,284,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Others   ,?a  biomarker  ALK_Positive,0.045505,0.312977,0.450549,41,131,91,?a
?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.115427,0.293785,0.450216,104,354,231,?a
?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.065698,0.450199,0.450199,113,251,251,?a
?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.113,0.450199,0.450199,113,251,251,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.026163,0.45,0.45,45,100,100,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.025982,0.45,0.45,45,100,100,?a
?a  ageCategory  old  ?a  sex  female   ,?a  comorbidity  Others,0.067442,0.449612,0.449612,116,258,258,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Cardiopathy,0.023256,0.449438,0.449438,40,89,89,?a
?a  ageCategory  young   ,?a  comorbidity  Cardiopathy,0.134302,0.449416,0.449416,231,514,514,?a
?a  comorbidity  Cardiopathy   ,?a  hasRelapse  Yes,0.186,0.449275,0.449275,186,414,414,?a
?a  drug  Vinorelbine   ,?a  sex  male,0.159,0.449153,0.449153,159,354,354,?a
?a  biomarker  EGFR_Positive   ,?a  sex  male,0.136,0.448845,0.448845,136,303,303,?a
?a  drug  Afatinib   ,?a  biomarker  EGFR_Positive,0.116537,0.316265,0.448718,105,332,234,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  comorbidity  Cardiopathy,0.035465,0.448529,0.448529,61,136,136,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.062153,0.282828,0.448,56,198,125,?a
?a  comorbidity  Depression   ,?a  biomarker  EGFR_Positive,0.157603,0.309368,0.44795,142,459,317,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  comorbidity  Diabetes_Mellitus,0.044767,0.447674,0.447674,77,172,172,?a
?a  ageCategory  young  ?a  sex  male   ,?a  comorbidity  Others,0.063953,0.447154,0.447154,110,246,246,?a
?a  sex  female   ,?a  comorbidity  Others,0.136628,0.446768,0.446768,235,526,526,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  comorbidity  Diabetes_Mellitus,0.041279,0.446541,0.446541,71,159,159,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.02907,0.446429,0.446429,50,112,112,?a
?a  biomarker  ROS1_Positive   ,?a  comorbidity  Depression,0.081395,0.44586,0.44586,140,314,314,?a
?a  drug  Afatinib   ,?a  comorbidity  Others,0.086047,0.445783,0.445783,148,332,332,?a
?a  ageCategory  young   ,?a  comorbidity  Others,0.13314,0.445525,0.445525,229,514,514,?a
?a  sex  male  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.030814,0.445378,0.445378,53,119,119,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  comorbidity  Diabetes_Mellitus,0.058721,0.444934,0.444934,101,227,227,?a
?a  smokingHabit  CurrentSmoker   ,?a  biomarker  EGFR_Positive,0.084351,0.302789,0.444444,76,251,171,?a
?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.065116,0.444444,0.444444,112,252,252,?a
?a  ageCategory  young   ,?a  biomarker  EGFR_Positive,0.166482,0.291829,0.443787,150,514,338,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  comorbidity  Cardiopathy,0.027326,0.443396,0.443396,47,106,106,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Cardiopathy,0.022674,0.443182,0.443182,39,88,88,?a
?a  drug  Cisplatin  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.044767,0.442529,0.442529,77,174,174,?a
?a  ageCategory  old   ,?a  comorbidity  Others,0.125,0.442387,0.442387,215,486,486,?a
?a  drug  Cisplatin   ,?a  comorbidity  Diabetes_Mellitus,0.088953,0.442197,0.442197,153,346,346,?a
?a  comorbidity  Cardiopathy   ,?a  ageCategory  old,0.183,0.442029,0.442029,183,414,414,?a
?a  sex  male   ,?a  biomarker  ROS1_Positive,0.152053,0.28903,0.441935,137,474,310,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.022093,0.44186,0.44186,38,86,86,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.022093,0.44186,0.44186,38,86,86,?a
?a  comorbidity  Depression   ,?a  biomarker  ROS1_Positive,0.155383,0.305011,0.44164,140,459,317,?a
?a  ageCategory  young   ,?a  comorbidity  Depression,0.131977,0.441634,0.441634,227,514,514,?a
?a  drug  Vinorelbine  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.05,0.441026,0.441026,86,195,195,?a
?a  sex  male   ,?a  comorbidity  Others,0.121512,0.440928,0.440928,209,474,474,?a
?a  comorbidity  Cardiopathy  ?a  drug  Afatinib   ,?a  biomarker  ALK_Positive,0.045505,0.325397,0.44086,41,126,93,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  biomarker  ALK_Positive,0.028857,0.27957,0.440678,26,93,59,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Cisplatin   ,?a  biomarker  ALK_Positive,0.041065,0.24183,0.440476,37,153,84,?a
?a  drug  Cisplatin   ,?a  biomarker  ALK_Positive,0.109878,0.286127,0.44,99,346,225,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.019186,0.44,0.44,33,75,75,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  biomarker  ALK_Positive,0.032186,0.311828,0.439394,29,93,66,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ALK_Positive,0.039956,0.292683,0.439024,36,123,82,?a
?a  biomarker  EGFR_Positive   ,?a  comorbidity  Cardiopathy,0.077326,0.438944,0.438944,133,303,303,?a
?a  sex  male   ,?a  biomarker  EGFR_Positive,0.150943,0.28692,0.43871,136,474,310,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  drug  Cisplatin,0.026559,0.438095,0.438095,46,105,105,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  drug  Carboplatin,0.034642,0.437956,0.437956,60,137,137,?a
?a  smokingHabit  NonSmoker   ,?a  biomarker  ROS1_Positive,0.085461,0.29845,0.4375,77,258,176,?a
?a  smokingHabit  PreviousSmoker   ,?a  biomarker  EGFR_Positive,0.081021,0.289683,0.437126,73,252,167,?a
?a  comorbidity  Others  ?a  hasRelapse  Yes   ,?a  biomarker  ALK_Positive,0.073252,0.292035,0.437086,66,226,151,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  biomarker  EGFR_Positive,0.123196,0.275434,0.437008,111,403,254,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ALK_Positive,0.042175,0.301587,0.436782,38,126,87,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.022093,0.436782,0.436782,38,87,87,?a
?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Depression,0.063953,0.436508,0.436508,110,252,252,?a
?a  biomarker  ROS1_Positive   ,?a  sex  male,0.137,0.436306,0.436306,137,314,314,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  comorbidity  Diabetes_Mellitus,0.061628,0.436214,0.436214,106,243,243,?a
?a  hasRelapse  Yes  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.037736,0.293103,0.435897,34,116,78,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.019767,0.435897,0.435897,34,78,78,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.048835,0.280255,0.435644,44,157,101,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.048835,0.27673,0.435644,44,159,101,?a
?a  comorbidity  Cardiopathy  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.062153,0.287179,0.434109,56,195,129,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  smokingHabit  NonSmoker,0.060447,0.338235,0.433962,46,136,106,?a
?a  drug  Carboplatin   ,?a  comorbidity  Cardiopathy,0.089535,0.433803,0.433803,154,355,355,?a
?a  comorbidity  Depression  ?a  drug  Nivolumab   ,?a  biomarker  ALK_Positive,0.057714,0.307692,0.433333,52,169,120,?a
?a  biomarker  ALK_Positive  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.037791,0.433333,0.433333,65,150,150,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Others,0.022674,0.433333,0.433333,39,90,90,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  biomarker  ALK_Positive,0.075472,0.296943,0.433121,68,229,157,?a
?a  hasRelapse  No   ,?a  comorbidity  Others,0.126744,0.43254,0.43254,218,504,504,?a
?a  sex  male   ,?a  biomarker  ALK_Positive,0.148724,0.2827,0.432258,134,474,310,?a
?a  comorbidity  Cardiopathy   ,?a  biomarker  ALK_Positive,0.134295,0.292271,0.432143,121,414,280,?a
?a  comorbidity  Depression  ?a  sex  female   ,?a  biomarker  ALK_Positive,0.076582,0.306667,0.43125,69,225,160,?a
?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.079911,0.285714,0.431138,72,252,167,?a
?a  hasRelapse  No   ,?a  biomarker  ALK_Positive,0.162042,0.289683,0.429412,146,504,340,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.044186,0.429379,0.429379,76,177,177,?a
?a  drug  Nivolumab   ,?a  biomarker  ALK_Positive,0.109878,0.286957,0.428571,99,345,231,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Cardiopathy   ,?a  smokingHabit  CurrentSmoker,0.055191,0.318182,0.428571,42,132,98,?a
